"","age","year_1920","year_1960","year_1970","year_1980","year_1990","year_1995","year_2000","year_2005"
"1","０","1877543","1599948","1898242","1586504","1213685","1191578","1171652","1056800"
"2","１","1392988","1619004","1883710","1636235","1260478","1201008","1166160","1091316"
"3","２","1387685","1573664","1839328","1706055","1301517","1185263","1192157","1115649"
"4","３","1391499","1536505","1843664","1749163","1343438","1208065","1189303","1149450"
"5","４","1408000","1635707","1442620","1837459","1373779","1209340","1184826","1164872"
"6","５","1372928","1735222","1789278","1927082","1438361","1231252","1204133","1182977"
"7","６","1403933","1727533","1679517","2033501","1488041","1269637","1207742","1179736"
"8","７","1382121","1839369","1637334","2067213","1504285","1311187","1188966","1193349"
"9","８","1377788","1950937","1587147","2025049","1508173","1349829","1210282","1188871"
"10","９","1320150","2086080","1574060","1979189","1527697","1378766","1210666","1183562"
"11","10","1282875","2262455","1595708","1921118","1595265","1439250","1239516","1204524"
"12","11","1289435","2497999","1623047","1890500","1636114","1490285","1262345","1205422"
"13","12","1250656","2483850","1586763","1848293","1705785","1506868","1314403","1187516"
"14","13","1209227","2366153","1543604","1854487","1749680","1511715","1352506","1209248"
"15","14","1069374","1519733","1628757","1445230","1839941","1529687","1377842","1207942"
"16","15","1082026","1617350","1711172","1794958","1923430","1600305","1442928","1234174"
"17","16","1069259","1968690","1711392","1682121","2030530","1642394","1494054","1273076"
"18","17","1107608","1906735","1814986","1638131","2061385","1708325","1509872","1313462"
"19","18","1092646","1964436","1910047","1589821","2021114","1756325","1510429","1357096"
"20","19","1067518","1922462","2019447","1567214","1970628","1850609","1530882","1390572"
"21","20","1002757","1751008","2186671","1574724","1906422","1918874","1600338","1442590"
"22","21","915908","1535438","2401081","1602101","1857127","2009782","1625091","1471327"
"23","22","938223","1650090","2403420","1557947","1813347","2035857","1680670","1481329"
"24","23","883009","1714822","2285942","1512204","1810873","1989775","1715244","1469413"
"25","24","869413","1739624","1450522","1594050","1412352","1940713","1800117","1485939"
"26","25","854425","1689923","1554758","1663062","1748650","1883050","1880976","1546900"
"27","26","814933","1634005","1903968","1666386","1636327","1852166","1979076","1588551"
"28","27","775477","1670163","1862917","1787518","1600509","1815863","2016650","1655017"
"29","28","775895","1654503","1926284","1897835","1552063","1816136","1980447","1701624"
"30","29","703219","1630930","1900271","2026554","1533164","1420926","1933160","1787957"
"31","30","739341","1566231","1755444","2192482","1549317","1760060","1884260","1873576"
"32","31","773679","1546012","1539410","2415378","1584284","1647947","1849663","1972766"
"33","32","741333","1518394","1667353","2411095","1548083","1612294","1813198","2009592"
"34","33","712177","1481269","1728640","2304799","1510323","1563101","1811976","1971948"
"35","34","642920","1463787","1750486","1447977","1595678","1543053","1417513","1926975"
"36","35","674709","1387592","1696910","1569120","1661116","1560494","1757774","1872513"
"37","36","685172","1274848","1640697","1923586","1664582","1591400","1645492","1841095"
"38","37","681796","1191436","1671165","1874319","1779871","1552685","1611261","1806426"
"39","38","676085","1139696","1646599","1935170","1887077","1516785","1559997","1802445"
"40","39","692976","1089563","1617471","1899386","2011134","1600857","1540341","1413302"
"41","40","644026","1146414","1550343","1740587","2171387","1662095","1556645","1753784"
"42","41","670919","944838","1505635","1524897","2393337","1666822","1588957","1643281"
"43","42","649605","972795","1468638","1643736","2385137","1781163","1549456","1601907"
"44","43","629209","986925","1438054","1702410","2277715","1887063","1512465","1550197"
"45","44","650005","1006975","1430958","1725870","1430714","2008929","1592696","1531427"
"46","45","583875","980821","1351851","1673819","1545924","2168695","1650773","1544533"
"47","46","565067","1000189","1244139","1607762","1886926","2391128","1653919","1576252"
"48","47","548974","968276","1165384","1631191","1835618","2371371","1764112","1534063"
"49","48","505850","969332","1107738","1604343","1897736","2265024","1864899","1495792"
"50","49","454801","932195","1050585","1573272","1851808","1422148","1982305","1575221"
"51","50","421494","910259","1105502","1508650","1693547","1529346","2138971","1631381"
"52","51","448277","901095","912056","1477871","1480437","1870153","2347851","1633864"
"53","52","509372","855165","931259","1441194","1596550","1817414","2335576","1739785"
"54","53","429877","841951","939321","1407660","1650934","1874378","2223293","1838150"
"55","54","425742","722734","953252","1364647","1666918","1830627","1396299","1953319"
"56","55","459314","751112","902812","1295202","1604726","1672579","1501963","2104329"
"57","56","424069","719927","915733","1180334","1540914","1460512","1832798","2309454"
"58","57","335152","747199","884779","1099504","1557041","1569575","1779454","2293251"
"59","58","321242","740018","897116","1046434","1531802","1618969","1834074","2180630"
"60","59","300316","709120","854773","992031","1490405","1631845","1785883","1367500"
"61","60","337385","661854","828825","1035148","1421899","1566573","1632217","1470910"
"62","61","330555","599389","803481","841665","1391994","1495647","1424441","1795818"
"63","62","335636","603574","755024","860802","1351066","1505440","1526514","1745049"
"64","63","338637","556668","737223","860417","1311019","1475258","1577067","1791638"
"65","64","313592","531523","627566","867215","1269036","1432191","1575594","1741214"
"66","65","298841","505495","640827","832884","1192291","1361069","1510217","1584111"
"67","66","291773","466537","601982","833040","1079429","1327237","1428250","1376543"
"68","67","262311","430039","615599","794007","1002117","1281247","1430201","1467269"
"69","68","250216","416371","590196","773732","945202","1233700","1392578","1504053"
"70","69","209396","360848","556982","731018","884537","1192825","1344693","1500634"
"71","70","209626","369556","518057","701157","913365","1113908","1273671","1430012"
"72","71","212097","361005","448018","661447","729445","999235","1229760","1344544"
"73","72","185690","319953","437548","606959","740123","922317","1180835","1336071"
"74","73","152546","288664","390434","577723","720881","861976","1128015","1291896"
"75","74","136659","237849","356349","475691","713720","797731","1088295","1234974"
"76","75","132530","231324","326963","470244","671353","812072","1006973","1156731"
"77","76","110684","213142","287599","427553","654840","638206","893671","1110735"
"78","77","96817","194135","251110","417260","607822","640113","817571","1054370"
"79","78","73162","171322","228677","380477","570999","609719","748699","993095"
"80","79","68819","153474","186082","341151","513199","588957","683686","947870"
"81","80","54343","128030","179777","293885","472578","542198","681785","859044"
"82","81","42439","115662","161579","243539","422144","515141","520218","747664"
"83","82","31696","97170","129731","220759","365509","461374","503819","668066"
"84","83","23471","80019","106367","182800","325174","419209","470027","602291"
"85","84","22234","66782","79124","152660","247453","362843","438840","535328"
"86","85","18337","49292","68821","126171","226914","319262","390834","514834"
"87","86","14129","38949","56381","99472","189128","272306","357076","380019"
"88","87","12299","30300","45665","77901","168327","225279","305379","354614"
"89","88","10177","22116","34815","62088","137602","187097","263509","317236"
"90","89","7294","15156","27279","44358","111079","132879","215525","282557"
"91","90","5289","10453","20084","36817","82892","113845","179821","238830"
"92","91","2467","7906","15667","28207","60798","88487","142477","205486"
"93","92","1902","5764","11083","19109","47454","71960","109402","165193"
"94","93","1230","3017","7901","12927","33525","54030","84061","131771"
"95","94","854","2136","5965","7987","23250","39480","54520","99590"
"96","95","680","1394","2670","5282","15613","26361","42429","75580"
"97","96","459","715","1683","3595","9943","17496","29798","54915"
"98","97","430","339","1041","2305","6348","12536","21687","38156"
"99","98","302","198","591","1334","3962","7742","14648","26778"
"100","99","44","121","316","828","2356","4809","9926","15792"
